"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API","1","0","Get recipes","0"
"1","","0","Meal Plan","0","0","View meal plan","0"
"1","","0","Authentication","0","0","User login","0"
"1","","0","Shopping List","0","0","Shopping list validation","0"
"0","","0","API","1","0","Import recipe","0"
"0","","0","API","1","0","Delete recipe","0"
"1","","0","Meal Plan","0","0","Create and delete meal plan","0"
"0","","0","API","1","0","Get recipes without fixture","0"
"0","","0","API","1","0","API headers","0"
"0","","0","API","1","0","API connection","0"
